   Count  Suspect
       2        0   {erl}
       6        0   {erm}
       6        0   {ern}
       4        0   {ers}
      10        0   {ert}
       4        0   {eru}
       2        0   {erv}
       4        0   {erz}
       8        0   {esc}
       6        0   {ese}
      14        0   {est}
       2        0   {et:}
       2        0   {ete}
       2        0   {etr}
       2        0   {etz}
       2        0   {eue}
       2        0   {eug}
       2        0   {eva}
       4        0   {eve}
       4        0   {ewi}
       2        0   {f (}
       4        0   {f D}
       2        0   {f S}
       2        0   {f d}
       2        0   {f u}
       4        0   {f, }
      14        0   {f.)}
       2        0   {f: }
       4        0   {fer}
       2        0   {ff,}
       2        0   {for}
       4        0   {fre}
       2        0   {fri}
       2        0   {fsi}
       2        0   {ft<\n>}
       8        0   {fts}
       2        0   {fve}
       2        0   {für}
       2        0   {g 1}
       4        0   {g 7}
       2        0   {g u}
       2        0   {g,<\n>}
       2        0   {g:<\n>}
       2        0   {g: }
       2        0   {ge }
       2        0   {ge,}
       2        0   {ge:}
       2        0   {geb}
      12        0   {gen}
       2        0   {ger}
       2        0   {ges}
       2        0   {gev}
       2        0   {gho}
       2        0   {gke}
       2        0   {gsn}
       2        0   {gt:}
       2        0   {gär}
       4        0   {h H}
       2        0   {h V}
       4        0   {h a}
       2        0   {h.N}
       4        0   {haf}
       4        0   {he }
       2        0   {hei}
       2        0   {her}
       2        0   {hls}
       2        0   {hlu}
       2        0   {hm,}
       2        0   {hme}
       2        0   {hne}
       2        0   {hni}
       2        0   {hnu}
       2        0   {hod}
       2        0   {hof}
       4        0   {hol}
       2        0   {hr }
       2        0   {hr.}
       2        0   {hr:}
       4        0   {hre}
       2        0   {hrh}
       2        0   {hsc}
       2        0   {ht }
       2        0   {hte}
       2        0   {hts}
       6        0   {häf}
       2        0   {häl}
       2        0   {i.d}
       2        0   {ia }
       2        0   {ibu}
       8        0   {ich}
       2        0   {ide}
      10        0   {ie }
       2        0   {ied}
       4        0   {ief}
      16        0   {ien}
       2        0   {ier}
       2        0   {iet}
       6        0   {ige}
       2        0   {igk}
       2        0   {ila}
       2        0   {ili}
       2        0   {ill}
       4        0   {imm}
       2        0   {imo}
       5        0   {in }
       1        0   {in1}
       2        0   {ind}
       4        0   {ine}
       2        0   {ing}
       2        0   {ini}
       4        0   {inn}
       2        0   {ion}
       2        0   {is }
       2        0   {is.}
       2        0   {it)}
       8        0   {ita}
       2        0   {itn}
       2        0   {its}
       4        0   {itt}
       2        0   {itz}
       2        0   {iv.}
       2        0   {ivi}
       2        0   {iz:}
       6        0   {jah}
       5        0   {je }
       1        0   {jeD}
       2        0   {jur}
       2        0   {k-B}
       2        0   {k. }
       6        0   {kap}
       2        0   {kas}
       4        0   {ke }
       2        0   {ke,}
       2        0   {kei}
       2        0   {kel}
       4        0   {koh}
       4        0   {kt.}
       2        0   {kte}
      14        0   {kti}
       2        0   {kur}
       2        0   {kve}
       2        0   {l 3}
       2        0   {l 6}
       2        0   {l M}
       2        0   {l R}
       2        0   {l) }
       4        0   {l-<\n>}
       2        0   {l.)}
       2        0   {l: }
       4        0   {lag}
       2        0   {lan}
       2        0   {las}
       2        0   {lau}
       2        0   {lbe}
       2        0   {ld }
       4        0   {ldo}
       4        0   {len}
       2        0   {ler}
       2        0   {lfr}
       2        0   {lhe}
       4        0   {lic}
       4        0   {lie}
       4        0   {lko}
       2        0   {ll }
       4        0   {lle}
       4        0   {lls}
       2        0   {llu}
       2        0   {llv}
       4        0   {lsc}
       2        0   {lst}
       4        0   {lte}
       2        0   {lti}
       4        0   {ltm}
       2        0   {lug}
       4        0   {lun}
       2        0   {lus}
       2        0   {luß}
       2        0   {lv.}
       2        0   {m 1}
       2        0   {m D}
       2        0   {m, }
       2        0   {m. }
       4        0   {mak}
       6        0   {man}
       2        0   {mdk}
       2        0   {me.}
       4        0   {mer}
       2        0   {mil}
       2        0   {mit}
       2        0   {mla}
       4        0   {mma}
       4        0   {mme}
       2        0   {mmr}
       2        0   {mo }
       2        0   {mre}
       2        0   {mst}
       4        0   {mtl}
       4        0   {mög}
       2        0   {n<\n>3}
       2        0   {n<\n>L}
       3        0   {n 1}
       2        0   {n 2}
       2        0   {n 3}
       4        0   {n 4}
       4        0   {n A}
       4        0   {n B}
       4        0   {n G}
       2        0   {n a}
       2        0   {n e}
       2        0   {n i}
       2        0   {n n}
       2        0   {n s}
       6        0   {n, }
       2        0   {n- }
       1        0   {n10}
       4        0   {n:<\n>}
       2        0   {n: }
       2        0   {nac}
      10        0   {nd }
       2        0   {nd:}
       4        0   {nde}
       2        0   {ndk}
       2        0   {ndu}
       2        0   {ne<\n>}
       2        0   {ne }
       2        0   {neh}
       2        0   {nek}
       4        0   {ner}
       4        0   {ng }
       2        0   {ng,}
       4        0   {ng:}
       8        0   {nge}
       2        0   {ngh}
       2        0   {ngs}
       2        0   {nie}
       2        0   {nin}
       2        0   {nit}
       2        0   {nk-}
       2        0   {nka}
       4        0   {nke}
       2        0   {nku}
       2        0   {nkv}
       2        0   {nla}
       2        0   {nn }
       6        0   {nn,}
       2        0   {nn-}
       2        0   {nno}
       2        0   {nnw}
       2        0   {nol}
       2        0   {nom}
       2        0   {not}
       2        0   {nr.}
       2        0   {nru}
      24        0   {nst}
       6        0   {nte}
